Store,Type,Size,Mean_Weekly_Sales,Median_Weekly_Sales,Sales_Volatility,Markdown_Intensity,Mean_Temperature,Mean_Fuel_Price,Mean_CPI,Mean_Unemployment,Department_Count,Holiday_Sales_Mean,KMeans_Cluster,Agglomerative_Cluster,DBSCAN_Cluster,MeanShift_Cluster
33,A,39690,5728.429998458455,912.81,8973.678638099382,769.3041930013874,76.7981593957145,3.5891313396022815,128.73682556420533,8.501254046554648,63,5796.792913907285,0,0,-1,0
34,A,158114,13522.361815336462,6680.5650000000005,16085.096309519378,4873.879357394366,58.413297143974965,3.2140081181533646,128.6635194727406,9.937437597809078,78,14573.120125874128,1,0,-1,0
35,B,103681,13804.574843618808,9211.619999999999,18311.678021626583,8481.230959277918,57.308381612090685,3.4185594038623006,139.02133169371328,8.788422439126784,74,16083.205538922157,1,0,0,0
36,A,39910,8584.595483767278,1903.2849999999999,12995.691150138095,661.8693908711026,71.21356637737063,3.210663612986178,214.7963759166024,7.860289938926391,63,8412.829061784896,0,0,1,0
37,C,39910,10297.371709686373,1722.9,16295.482073978761,674.0741076880377,71.24826394671108,3.2334733555370523,214.87286530036081,7.848849153483209,62,10170.84268537074,0,0,1,0
38,C,39690,7492.515715838088,751.255,12733.33419991559,793.8484474327628,70.37816354251562,3.6173629448519424,128.72863226911164,13.08628959521869,63,7480.585843137254,0,0,-1,0
39,A,184109,21000.859913950193,11016.425,25373.671619650784,12533.488952217049,70.58750860498077,3.2194807653371127,214.723961570986,7.869864547479247,75,22254.494519368724,1,1,-1,0
40,A,155083,13763.765214135969,6989.99,17729.49461386449,5653.244692023561,47.588752121393625,3.44347758810023,135.10525951598282,4.793243885394829,77,14198.082746478873,1,0,-1,0
41,A,196321,17976.095941712927,8927.475,22836.183423164992,7990.448614195084,48.37366475019825,3.2446627676447264,193.69906710946668,6.969444389373513,77,18775.89428973277,1,1,-1,0
42,C,39690,11443.6996519488,1293.8,18258.32326953674,687.1262462246513,72.2665209262189,3.590824967639868,128.74937528583345,8.332511146267798,62,11681.975884773663,0,0,-1,0
43,C,41062,13415.276699748185,1732.53,20810.80925716949,641.9154436379796,68.86956895274774,3.2181088727595912,207.72880465510295,9.933301733076581,61,13474.213389830507,0,0,-1,0
44,C,39910,6039.011235876691,799.53,10609.422214786668,541.4373845724648,53.901825917143256,3.2942237411075466,128.72084458761333,6.713258752964151,62,5932.577174348698,0,0,-1,0
45,B,118221,11663.10266057902,6019.3,14075.334471787524,6989.164368579433,57.75975095984227,3.4190654768081354,186.29922615060704,8.648434678841962,74,12298.498235294117,0,0,-1,0
